stock,date,value
tesla,2019-07-26,228.039993
tesla,2019-07-29,235.770004
tesla,2019-07-30,242.259995
tesla,2019-07-31,241.610001
tesla,2019-08-01,233.850006
tesla,2019-08-02,234.339996
tesla,2019-08-05,228.320007
tesla,2019-08-06,230.75
tesla,2019-08-07,233.419998
tesla,2019-08-08,238.300003
tesla,2019-08-09,235.009995
tesla,2019-08-12,229.009995
tesla,2019-08-13,235
tesla,2019-08-14,219.619995
tesla,2019-08-15,215.639999
tesla,2019-08-16,219.940002
tesla,2019-08-19,226.830002
tesla,2019-08-20,225.860001
tesla,2019-08-21,220.830002
tesla,2019-08-22,222.149994
tesla,2019-08-23,211.399994
tesla,2019-08-26,215
tesla,2019-08-27,214.080002
tesla,2019-08-28,215.589996
tesla,2019-08-29,221.710007
tesla,2019-08-30,225.610001
tesla,2019-09-03,225.009995
tesla,2019-09-04,220.679993
tesla,2019-09-05,229.580002
tesla,2019-09-06,227.449997
tesla,2019-09-09,231.789993
tesla,2019-09-10,235.539993
tesla,2019-09-11,247.100006
tesla,2019-09-12,245.869995
tesla,2019-09-13,245.199997
tesla,2019-09-16,242.809998
tesla,2019-09-17,244.789993
tesla,2019-09-18,243.490005
tesla,2019-09-19,246.600006
tesla,2019-09-20,240.619995
tesla,2019-09-23,241.229996
tesla,2019-09-24,223.210007
tesla,2019-09-25,228.699997
tesla,2019-09-26,242.559998
tesla,2019-09-27,242.130005
tesla,2019-09-30,240.869995
tesla,2019-10-01,244.690002
tesla,2019-10-02,243.130005
tesla,2019-10-03,233.029999
tesla,2019-10-04,231.429993
tesla,2019-10-07,237.720001
tesla,2019-10-08,240.050003
tesla,2019-10-09,244.529999
tesla,2019-10-10,244.740005
tesla,2019-10-11,247.889999
tesla,2019-10-14,256.959991
tesla,2019-10-15,257.890015
tesla,2019-10-16,259.75
tesla,2019-10-17,261.970001
tesla,2019-10-18,256.950012
tesla,2019-10-21,253.5
tesla,2019-10-22,255.580002
tesla,2019-10-23,254.679993
tesla,2019-10-24,299.679993
tesla,2019-10-25,328.130005
tesla,2019-10-28,327.709991
tesla,2019-10-29,316.220001
tesla,2019-10-30,315.01001
tesla,2019-10-31,314.920013
tesla,2019-11-01,313.309998
tesla,2019-11-04,317.470001
tesla,2019-11-05,317.220001
tesla,2019-11-06,326.579987
tesla,2019-11-07,335.540009
tesla,2019-11-08,337.140015
tesla,2019-11-11,345.089996
tesla,2019-11-12,349.929993
tesla,2019-11-13,346.109985
tesla,2019-11-14,349.350006
tesla,2019-11-15,352.170013
tesla,2019-11-18,349.98999
tesla,2019-11-19,359.519989
tesla,2019-11-20,352.220001
tesla,2019-11-21,354.829987
tesla,2019-11-22,333.040009
tesla,2019-11-25,336.339996
tesla,2019-11-26,328.920013
tesla,2019-11-27,331.290009
tesla,2019-11-29,329.940002
tesla,2019-12-02,334.869995
tesla,2019-12-03,336.200012
tesla,2019-12-04,333.029999
tesla,2019-12-05,330.369995
tesla,2019-12-06,335.890015
tesla,2019-12-09,339.529999
tesla,2019-12-10,348.839996
tesla,2019-12-11,352.700012
tesla,2019-12-12,359.679993
tesla,2019-12-13,358.390015
tesla,2019-12-16,381.5
tesla,2019-12-17,378.98999
tesla,2019-12-18,393.149994
tesla,2019-12-19,404.040009
tesla,2019-12-20,405.589996
tesla,2019-12-23,419.220001
tesla,2019-12-24,425.25
tesla,2019-12-26,430.940002
tesla,2019-12-27,430.380005
tesla,2019-12-30,414.700012
